show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,soup
81145628,Movie,normofthenorth:kingsizedadventure,"richardfinn,timmaltby","alanmarriott,andrewtoth,briandobson,colehoward,jennifercameron,jonathanholmes,leetockar,lisadurupt,mayakay,michaeldobson","United States, India, South Korea, China",9-Sep-19,2019.0,TV-PG,90 min,"children&familymovies,comedies","beforeplanninganawesomeweddingforhisgrandfather,apolarbearkingmusttakebackastolenartifactfromanevilarchaeologistfirst.","normofthenorth:kingsizedadventure richardfinn,timmaltby alanmarriott,andrewtoth,briandobson,colehoward,jennifercameron,jonathanholmes,leetockar,lisadurupt,mayakay,michaeldobson children&familymovies,comedies beforeplanninganawesomeweddingforhisgrandfather,apolarbearkingmusttakebackastolenartifactfromanevilarchaeologistfirst."
80117401,Movie,jandino:whateverittakes,,jandinoasporaat,United Kingdom,9-Sep-16,2016.0,TV-MA,94 min,stand-upcomedy,"jandinoasporaatriffsonthechallengesofraisingkidsandserenadestheaudiencewitharousingrenditionof""sexonfire""inhiscomedyshow.","jandino:whateverittakes  jandinoasporaat stand-upcomedy jandinoasporaatriffsonthechallengesofraisingkidsandserenadestheaudiencewitharousingrenditionof""sexonfire""inhiscomedyshow."
70234439,TV Show,transformersprime,,"petercullen,sumaleemontano,frankwelker,jeffreycombs,kevinmichaelrichardson,taniagunadi,joshkeaton,steveblum,andypessoa,erniehudson,darannorris,willfriedle",United States,8-Sep-18,2013.0,TV-Y7-FV,1 Season,kids'tv,"withthehelpofthreehumanallies,theautobotsonceagainprotectearthfromtheonslaughtofthedecepticonsandtheirleader,megatron.","transformersprime  petercullen,sumaleemontano,frankwelker,jeffreycombs,kevinmichaelrichardson,taniagunadi,joshkeaton,steveblum,andypessoa,erniehudson,darannorris,willfriedle kids'tv withthehelpofthreehumanallies,theautobotsonceagainprotectearthfromtheonslaughtofthedecepticonsandtheirleader,megatron."
80058654,TV Show,transformers:robotsindisguise,,"willfriedle,darrencriss,constancezimmer,kharypayton,mitchellwhitfield,stuartallan,tedmcginley,petercullen",United States,8-Sep-18,2016.0,TV-Y7,1 Season,kids'tv,"whenaprisonshipcrashunleasheshundredsofdecepticonsonearth,bumblebeeleadsanewautobotforcetoprotecthumankind.","transformers:robotsindisguise  willfriedle,darrencriss,constancezimmer,kharypayton,mitchellwhitfield,stuartallan,tedmcginley,petercullen kids'tv whenaprisonshipcrashunleasheshundredsofdecepticonsonearth,bumblebeeleadsanewautobotforcetoprotecthumankind."
80125979,Movie,#realityhigh,fernandolebrija,"nestacooper,katewalsh,johnmichaelhiggins,keithpowers,aliciasanz,jakeborelli,kidink,youseferakat,rebekahgraf,annewinters,petergilroy,patrickdavis",United States,8-Sep-17,2017.0,TV-14,99 min,comedies,"whennerdyhighschoolerdanifinallyattractstheinterestofherlongtimecrush,shelandsinthecrosshairsofhisex,asocialmediacelebrity.","#realityhigh fernandolebrija nestacooper,katewalsh,johnmichaelhiggins,keithpowers,aliciasanz,jakeborelli,kidink,youseferakat,rebekahgraf,annewinters,petergilroy,patrickdavis comedies whennerdyhighschoolerdanifinallyattractstheinterestofherlongtimecrush,shelandsinthecrosshairsofhisex,asocialmediacelebrity."
80163890,TV Show,apaches,,"albertoammann,eloyazorín,verónicaechegui,lucíajiménez,claudiatraisac",Spain,8-Sep-17,2016.0,TV-MA,1 Season,"crimetvshows,internationaltvshows,spanish-languagetvshows",ayoungjournalistisforcedintoalifeofcrimetosavehisfatherandfamilyinthisseriesbasedonthenovelbymiguelsáezcarral.,"apaches  albertoammann,eloyazorín,verónicaechegui,lucíajiménez,claudiatraisac crimetvshows,internationaltvshows,spanish-languagetvshows ayoungjournalistisforcedintoalifeofcrimetosavehisfatherandfamilyinthisseriesbasedonthenovelbymiguelsáezcarral."
70304989,Movie,automata,gabeibáñez,"antoniobanderas,dylanmcdermott,melaniegriffith,birgittehjortsørensen,robertforster,christacampbell,timmcinnerny,andynyman,davidryall","Bulgaria, United States, Spain, Canada",8-Sep-17,2014.0,R,110 min,"internationalmovies,sci-fi&fantasy,thrillers","inadystopianfuture,aninsuranceadjusterforatechcompanyinvestigatesarobotkilledforviolatingprotocolanddiscoversaglobalconspiracy.","automata gabeibáñez antoniobanderas,dylanmcdermott,melaniegriffith,birgittehjortsørensen,robertforster,christacampbell,timmcinnerny,andynyman,davidryall internationalmovies,sci-fi&fantasy,thrillers inadystopianfuture,aninsuranceadjusterforatechcompanyinvestigatesarobotkilledforviolatingprotocolanddiscoversaglobalconspiracy."
80164077,Movie,fabriziocopano:solopiensoenmi,"rodrigotoro,franciscoschultz",fabriziocopano,Chile,8-Sep-17,2017.0,TV-MA,60 min,stand-upcomedy,"fabriziocopanotakesaudienceparticipationtothenextlevelinthisstand-upsetwhilereflectingonspermbanks,familywhatsappgroupsandmore.","fabriziocopano:solopiensoenmi rodrigotoro,franciscoschultz fabriziocopano stand-upcomedy fabriziocopanotakesaudienceparticipationtothenextlevelinthisstand-upsetwhilereflectingonspermbanks,familywhatsappgroupsandmore."
80117902,TV Show,firechasers,,,United States,8-Sep-17,2017.0,TV-MA,1 Season,"docuseries,science&naturetv","ascalifornia's2016fireseasonrages,bravebackcountryfirefightersracetoputouttheflames,protecthomesandsavelivesinthisdocuseries.","firechasers   docuseries,science&naturetv ascalifornia's2016fireseasonrages,bravebackcountryfirefightersracetoputouttheflames,protecthomesandsavelivesinthisdocuseries."
70304990,Movie,goodpeople,henrikrubengenz,"jamesfranco,katehudson,tomwilkinson,omarsy,samspruell,annafriel,thomasarnold,oliverdimsdale,dianahardcastle,michaeljibson,diarmaidmurtagh","United States, United Kingdom, Denmark, Sweden",8-Sep-17,2014.0,R,90 min,"action&adventure,thrillers",astrugglingcouplecan'tbelievetheirluckwhentheyfindastashofmoneyintheapartmentofaneighborwhowasrecentlymurdered.,"goodpeople henrikrubengenz jamesfranco,katehudson,tomwilkinson,omarsy,samspruell,annafriel,thomasarnold,oliverdimsdale,dianahardcastle,michaeljibson,diarmaidmurtagh action&adventure,thrillers astrugglingcouplecan'tbelievetheirluckwhentheyfindastashofmoneyintheapartmentofaneighborwhowasrecentlymurdered."
